31,黄昏或黎明的诗人,王家新,花城出版社,NULL,2015-5,272,32.00元,精装,9787536074521,8.1,20,NULL,此书是诗人王家新近年来读诗和翻译手记的新作。书中谈及对策兰、奥登、曼德尔施塔姆、茨维塔耶娃等诗人的了解、喜爱、翻译的过程，及对他们诗歌的阅读感受。是对诗人阅读和写作生活的记录，也探讨了诗人和诗歌对社会的关照。,诗歌
32,鲁迅手稿全集,鲁迅手稿全集编委会,北京图书馆出版社,NULL,不详,60册(2箱),7800.00元,影印本,9787501317158,0.0,10,NULL,《鲁迅手稿全集》包括:文稿、书信、日记,鲁迅
33,"曾国藩全集 (全30册)",曾国藩,岳麓书社,NULL,1994-12-01,300,680.0,平装,9787805205830,9.4,37,NULL,,中国文学
34,霓裳·张爱玲,陶方宣,东方出版中心,NULL,2008年,173,32.00元,平装,9787801868893,7.5,70,NULL,"陶方宣的文字（代序）王唯铭 1. 织锦缎夹袍 2. 矮领子布旗袍 3. 拟古式齐膝夹祆 4. 双行横扣的黑呢斗篷 5. 洒着竹叶的旗袍 6. 暗灰色薄呢窄裙 7. 暗红的薄棉袍 8. 半旧的布长衫 9. 宝蓝色绸袍 10. 茶青折褶绸裙 11. 潮湿绿曳地长袍 12. 葱白无袖素绸长袍 13. 翠蓝色夏布衫 14. 海绿花绸子衣服 15. 粉蓝色薄纱荷叶裙 16. 翡翠绿天鹅绒斗篷 17. 红蓝格子小围巾 18. 胡兰成的皮袄 19. 湖色熟罗对襟褂 20. 花绸子衣料围巾 21. 孔雀蓝镶金线上衣 22. 喇叭袖唐装单衫 23. 蓝布罩衫 24. 老祖母夹被服 25. 绿底白花的毛线衣 26. 柠檬黄裸臂晚礼服 27. 前清样式的绣花袄裤 28. 浅蓝色绸旗袍 29. 饰暗纽的黑呢大衣 30. 双凤绣花鞋 31. 金鱼黄紧身长衣 32. 素花低领布...(展开全部)",张爱玲
35,西班牙披肩之谜,埃勒里·奎因,内蒙古人民出版社,NULL,2009-1,236,15.80元,平装,9787204099511,7.5,691,NULL,"埃勒里与探长父亲的挚友马克林法官同行，前往西班牙岬附近的海滨小屋避暑，一抵达便发现手脚被绑、受伤昏厥的女子，她是西班牙岬主人的千金萝萨·高德弗雷，这是一桩绑架案吗？ 消息传回高德弗雷家之后，萝萨的男友柯特连忙赶来，却带来另一桩噩耗：家中宴请的客人约翰·马尔科陈尸在别墅海滨的阳台上。死者全身赤裸坐在椅子上，浓密黑卷发上的黑色软呢帽稍稍右斜，只留一件歌剧式的披肩挂在肩膀上。尸体为何被如此安置？为何一丝不挂？……",推理
36,回到你自己,王乾坤,中国文联,NULL,2001-8-1,294,18.20,精装(无盘),9787505938731,0.0,10,NULL,回到你自己：关于鲁迅的对聊，ISBN：9787505938731，作者：王乾坤著,鲁迅
37,我的路6,寂地,黑龙江美术出版社,NULL,2011-12,128,25.00元,平装,9787531832744,8.8,1764,NULL,"历时两年，温暖再续。 一道关于幸福的菜肴，一份交付终生的信任，一个为爱停留的旅人，一颗封存爱情的种子，一张隔离自己的面具，一位夜色中的守护者。 寂地，我的路第六册《风轻云淡》。收录《阿布的店》《它们的故事》《平安小镇》《记忆种子》《面具》《夜的守护者》及特别篇《守护者讲 的故事》《V先生的提包》8篇佳作。 V先生和小浣，继续着他们的旅途。一直在你身边，从未走远。 《风轻云淡》宣传短片请访问：http://v.youku.com/v_show/id_XMzI2MjkzNjky.html：",绘本
38,昨日世界,"[奥] 茨威格",人民文学出版社,NULL,2015-4,337,39.00元,平装,9787020107964,9.3,35,NULL,《昨日世界》这部回忆录从一位欧洲知识分子的视角再现了从19、20世纪之交到1939年第二次世界大战爆发这一段欧洲史，展现了茨威格个人的精神历程，回顾了他与罗曼罗兰、维尔哈伦、麦绥莱勒、高尔基、里尔克、理查施特劳斯、赫尔策尔等文化界人士的交往，对带给欧洲和人类巨大创痛的两次战争的缘由进行了深刻的反思。,茨威格
39,村上朝日堂的卷土重来,（日）村上春树,上海译文出版社,NULL,2004-06,192,14.00,平装,9787532734573,8.1,1133,NULL,《村上朝日堂的卷土重》是村上春树随笔系列之一，由48篇短文组成，内容大致可分为两类，一是关于作者本人的，如他的家庭情况、个人爱好习性、早年的生活和创作、成名后的曲闻逸事，一是作者对社会问题的种种看法和议论，如关于选举、大众阅读、人到中年、健康及电影、音乐。,村上春树
40,世说新语（上下）,"朱碧莲，沈海波 译注",中华书局,NULL,2011-5-1,947,56.00元,精装,9787101079401,9.1,152,NULL,"世说新语（上下册），ISBN：9787101079401，作者：朱碧莲，沈海波 译注",古典文学
